CSIRO vegetation type,,,,,,,,,,,,,,,,,,,,
CSIRO,"(ice,water,urban:0)/grass:1/shrub:2/woody:3",,,,,,,,,,,,,,,,,,,
CSIRO type,,,,,,,,,,,,,,,,,,,,
14,30,150,71,0.5,0.95,0.9,0.15,0.4,0.15,6.51,14.06,14.06,3,10,10,10,30,30,1,0.05
15,40,150,71,0.5,0.95,0.9,0.15,0.4,0.15,6.51,14.06,14.06,3,10,10,10,30,30,6,0.05
16,40,135,71,0.5,0.95,0.9,0.25,0.4,0.25,6.51,14.06,14.06,3,10,10,10,30,30,1,0.05
17,40,150,71,0.5,0.95,0.9,0.1,0.4,0.1,6.51,14.06,14.06,3,10,10,10,30,30,0,0
,Leaf C,Wood C,Froot C,met C,str C,CWD C,mic C,slow C,pass C,,,,,,,,,,,
unit,g C/m2,g C/m2,g C/m2,g C/m2,g C/m2,g C/m2,g C/m2,g C/m2,g C/m2,,,,,,,,,,,
1,384.6036921,7865.396308,250,6.577021277,209.172766,606.0255319,528.6639776,13795.93978,4425.396244,,,,,,,,,,,
2,273,11451,2586,44.6345733,433.7625821,1150.76477,11.37765442,311.8092321,13201.81311,,,,,,,,,,,
3,96.59813663,5683.401863,220,7.127118644,277.7733051,776.7330508,597.0785149,16121.1199,5081.801584,,,,,,,,,,,
4,150.2637681,10833.73623,220,10.9779661,312.5491525,888.5694915,405.5553953,11153.25218,5041.19242,,,,,,,,,,,
5,88,372,140,3.22937365,39.44449244,111.5863931,168.0450549,4465.477951,1386.476994,,,,,,,,,,,
6,137.1714256,0,263,28.57245081,50.91091234,0,425.6431308,5694.436626,4179.920244,,,,,,,,,,,
7,137.1714256,0,263,28.57245081,50.91091234,0,425.6431308,5694.436626,4179.920244,,,,,,,,,,,
8,137.1714256,50,263,28.57245081,50.91091234,10,425.6431308,5694.436626,4179.920244,,,,,,,,,,,
9,160,0,240,28.57245081,50.91091234,0,512.4247399,6855.438268,5032.136992,,,,,,,,,,,
10,160,0,240,28.57245081,50.91091234,0,512.4247399,6855.438268,5032.136992,,,,,,,,,,,
11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
12,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
13,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
14,50,20,30,1.457746479,4.956338028,28.44084507,57.77584708,1325.052246,517.1719068,,,,,,,,,,,
15,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
16,50,20,30,1.457746479,4.956338028,28.44084507,0,0,0,,,,,,,,,,,
17,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
IGBP:,Tkshed,xkleafcoldmax,xkleafcoldexp,xkleafdrymax,xkleafdryexp,,Tkchill,Tkwarm,GDD2stdy,nd2onset,nd2grow,nd2dorm,phena,phenb,,,,,,
,K,1/year,,1/year,,,K,K,DDK,day,day,day,??,??,phenc,,,,,
1,268,0.2,3,0.1,3,,273.15,268.15,200,30,15,10,667,-0.0304,68,,,,,
2,260,0.1,3,0.1,3,,260,260,200,30,15,10,667,-0.0304,0,,,,,
3,263.15,0.1,3,0.1,3,,273.15,268.15,200,30,15,10,667,-0.0304,0,,,,,
4,268.15,0.6,3,1,3,,273.15,268.15,200,30,15,10,667,-0.0304,0,,,,,
5,277.15,1,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
6,275.15,0.2,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
7,275.15,0.2,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
8,275.15,0.2,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
9,278.15,0.3,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
10,278.15,0.3,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
11,277.15,0.1,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
12,277.15,0.1,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
13,277.15,0.1,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
14,277.15,0.1,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
15,277.15,0.1,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
16,277.15,0.1,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
17,283.15,0.1,3,0.1,3,,273.15,268.15,100,30,15,10,638,-0.01,68,,,,,
,N/Cleafmi,N/Cleafmx,N/Cwdmin,N/Cwdmax,N/Cfrtmin,N/Cfrtmax,xNminloss,xNleach,nfixrate,,,,,,,,,,,
,g N/g C,g N/g C,g N/g C,g N/g C,g N/g C,g N/g C,fraction,1/year,gn/m2/yr,,,,,,,,,,,
1,0.018181818,0.021818182,0.004,0.0048,0.012820513,0.015384615,0.05,0.05,0.08,,,,,,,,,,,
2,0.03058104,0.036697248,0.006666667,0.008,0.014705882,0.017647059,0.05,0.05,2.6,,,,,,,,,,,
3,0.033333333,0.04,0.004,0.0048,0.012820513,0.015384615,0.05,0.05,0.21,,,,,,,,,,,
4,0.043103448,0.051724138,0.005714286,0.006857143,0.014084507,0.016901408,0.05,0.05,1.64,,,,,,,,,,,
5,0.026595745,0.031914894,0.006666667,0.008,0.014084507,0.016901408,0.05,0.05,0.37,,,,,,,,,,,
6,0.028735632,0.034482759,0.006666667,0.008,0.014084507,0.016901408,0.05,0.05,0.95,,,,,,,,,,,
7,0.022727273,0.027272727,0.006666667,0.008,0.014084507,0.016901408,0.05,0.05,0.95,,,,,,,,,,,
8,0.04,0.048,0.006666667,0.008,0.014084507,0.016901408,0.05,0.05,0.95,,,,,,,,,,,
9,0.028571429,0.034285714,0.008,0.0096,0.014084507,0.016901408,0.05,0.05,4,,,,,,,,,,,
10,0.04,0.048,0.008,0.0096,0.014084507,0.016901408,0.05,0.05,4,,,,,,,,,,,
11,0.033333333,0.04,0.006666667,0.008,0.014084507,0.016901408,0.05,0.05,0,,,,,,,,,,,
12,0.033333333,0.04,0.006666667,0.008,0.014084507,0.016901408,0.05,0.05,0,,,,,,,,,,,
13,0.033333333,0.04,0.006666667,0.008,0.014084507,0.016901408,0.05,0.05,0,,,,,,,,,,,
