Lat	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	FALL	FALL	FALL	FALL	FALL	FALL	FALL	FALL	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1
38.25	131	106	86	111	111	111	101	101	227	224	166	216	216	216	236	236	0	0	0	0	0	0	0	0
37.75	130	104	88	111	111	111	99	99	227	223	170	217	217	217	235	235	0	0	0	0	0	0	0	0
37.25	130	102	89	111	111	111	96	96	229	222	175	219	219	219	235	235	0	0	0	0	0	0	0	0
36.75	130	100	93	111	111	111	94	94	230	221	180	220	220	220	235	235	0	0	0	0	0	0	0	0
36.25	129	98	97	110	110	110	92	92	231	221	184	222	222	222	235	235	0	0	0	0	0	0	0	0
35.75	128	96	100	110	110	110	91	91	233	220	188	224	224	224	235	235	0	0	0	0	0	0	0	0
35.25	127	94	104	110	110	110	90	90	234	220	192	226	226	226	234	234	0	0	0	0	0	0	0	0
34.75	126	93	107	110	110	110	88	88	235	220	197	228	228	228	233	233	0	0	0	0	0	0	0	0
34.25	125	91	109	111	111	111	87	87	236	221	201	231	231	231	233	233	0	0	0	0	0	0	0	0
33.75	123	90	113	114	114	114	86	86	237	222	208	233	233	233	233	233	0	0	0	0	0	0	0	0
33.25	120	89	118	115	115	115	85	85	238	223	213	235	235	235	236	236	0	0	0	0	0	0	0	0
32.75	118	88	122	117	117	117	84	84	238	225	218	238	238	238	235	235	0	0	0	0	0	0	0	0
32.25	114	88	126	120	120	120	85	85	235	226	227	241	241	241	236	236	0	0	0	0	0	0	0	0
31.75	113	88	133	122	122	122	85	85	236	228	236	244	244	244	236	236	0	0	0	0	0	0	0	0
31.25	110	89	140	124	124	124	85	85	236	230	245	247	247	247	236	236	0	0	0	0	0	0	0	0
30.75	108	90	148	126	126	126	86	86	236	232	255	251	251	251	237	237	0	0	0	0	0	0	0	0
30.25	107	93	156	128	128	128	88	88	237	234	265	253	253	253	237	237	0	0	0	0	0	0	0	0
29.75	108	95	163	129	129	129	90	90	238	236	268	256	256	256	238	238	0	0	0	0	0	0	0	0
29.25	110	100	167	132	132	132	93	93	238	238	270	259	259	259	241	241	0	0	0	0	0	0	0	0
28.75	109	105	170	134	134	134	97	97	238	241	272	262	262	262	244	244	0	0	0	0	0	0	0	0
28.25	112	109	170	136	136	136	99	99	239	243	273	264	264	264	247	247	0	0	0	0	0	0	0	0
27.75	111	114	170	138	138	138	101	101	239	246	275	266	266	266	251	251	0	0	0	0	0	0	0	0
27.25	116	119	169	140	140	140	104	104	242	249	276	268	268	268	254	254	0	0	0	0	0	0	0	0
26.75	115	123	169	141	141	141	106	106	242	251	278	270	270	270	260	260	0	0	0	0	0	0	0	0
26.25	115	127	168	144	144	144	109	109	245	254	279	272	272	272	262	262	0	0	0	0	0	0	0	0
25.75	115	131	169	145	145	145	112	112	245	256	279	273	273	273	263	263	0	0	0	0	0	0	0	0
25.25	116	134	168	145	145	145	115	115	245	257	279	273	273	273	265	265	0	0	0	0	0	0	0	0
24.75	118	137	167	146	146	146	118	118	240	258	279	274	274	274	267	267	0	0	0	0	0	0	0	0
24.25	121	140	165	146	146	146	120	120	241	259	279	274	274	274	269	269	0	0	0	0	0	0	0	0
23.75	127	142	164	146	146	146	121	121	249	260	279	274	274	274	271	271	0	0	0	0	0	0	0	0
23.25	131	145	162	145	145	145	122	122	251	262	278	274	274	274	273	273	0	0	0	0	0	0	0	0
22.75	134	147	159	144	144	144	121	121	254	262	278	274	274	274	276	276	0	0	0	0	0	0	0	0
